family,genus,species,taxonomic.rank,taxon,LME,FAO,habitat,feeding.mode,tl,level.tl,body.shape,fin.shape,AR,offspring.size,spawning.type,age.maturity,fecundity,length.infinity,growth.coefficient,length.max,age.max
Lotidae,Gaidropsarus,ensis,S,Gaidropsarus ensis,8,21,benthopelagic,generalist,3.38,spe,elongated,rounded,1.93,0.78,non-guarder,2.8,703839,27,0.6,42,8
Sebastidae,Sebastes,entomelas,S,Sebastes entomelas,2,67,pelagic,benthivorous,3.7,spe,fusiform,truncate,2.43,6.3,bearer,5.3,541,48,0.11,58,60
Sebastidae,Sebastes,entomelas,S,Sebastes entomelas,3,67,pelagic,benthivorous,3.7,spe,fusiform,truncate,2.43,6.3,bearer,5.3,541,41,0.12,58,60
Sebastidae,Sebastes,entomelas,S,Sebastes entomelas,3,77,pelagic,benthivorous,3.7,spe,fusiform,truncate,2.43,6.3,bearer,5.3,541,41,0.12,58,60
Sebastidae,Sebastes,eos,S,Sebastes eos,3,67,demersal,generalist,3.77,genus,fusiform,truncate,1.6,6.3,bearer,5.9,312120,41,0.12,56,71
Sebastidae,Sebastes,eos,S,Sebastes eos,3,77,demersal,generalist,3.77,genus,fusiform,truncate,1.6,6.3,bearer,5.9,312120,41,0.12,56,71
Osmeridae,Osmerus,eperlanus,S,Osmerus eperlanus,22,27,pelagic,planktivorous,3.46,spe,fusiform,forked,1.71,0.95,non-guarder,2,27750,32,0.27,32,10
Osmeridae,Osmerus,eperlanus,S,Osmerus eperlanus,24,27,pelagic,planktivorous,3.46,spe,fusiform,forked,1.71,0.95,non-guarder,2,26938,33,0.23,32,10
Moridae,Lepidion,eques,S,Lepidion eques,18,21,benthopelagic,benthivorous,3.24,spe,fusiform,rounded,0.74,0.98,non-guarder,8.5,600000,43,0.15,33,13
Moridae,Lepidion,eques,S,Lepidion eques,19,27,benthopelagic,benthivorous,3.24,spe,fusiform,rounded,0.74,0.98,non-guarder,8.5,600000,43,0.15,42,13
Moridae,Lepidion,eques,S,Lepidion eques,24,27,benthopelagic,benthivorous,3.24,spe,fusiform,rounded,0.74,0.98,non-guarder,8.5,600000,43,0.15,42,13
Moridae,Lepidion,eques,S,Lepidion eques,25,27,benthopelagic,benthivorous,3.24,spe,fusiform,rounded,0.74,0.98,non-guarder,8.5,600000,43,0.15,42,13
Moridae,Lepidion,eques,S,Lepidion eques,59,27,benthopelagic,benthivorous,3.24,spe,fusiform,rounded,0.74,0.98,non-guarder,8.5,600000,43,0.15,42,13
Coryphaenidae,Coryphaena,equiselis,S,Coryphaena equiselis,7,21,pelagic,piscivorous,4.5,spe,fusiform,lunate,3.91,2.06,non-guarder,0.4,555362,63,0.5,127,4
Syngnathidae,Hippocampus,erectus,S,Hippocampus erectus,5,31,reef-associated,benthivorous,3.46,spe,eel-like,pointed,0.87,1.52,bearer,0.8,825,21,0.34,19,1
Syngnathidae,Hippocampus,erectus,S,Hippocampus erectus,6,21,reef-associated,benthivorous,3.46,spe,eel-like,pointed,0.87,1.52,bearer,0.8,825,21,0.34,19,1
Syngnathidae,Hippocampus,erectus,S,Hippocampus erectus,6,31,reef-associated,benthivorous,3.46,spe,eel-like,pointed,0.87,1.52,bearer,0.8,825,21,0.34,19,1
Syngnathidae,Hippocampus,erectus,S,Hippocampus erectus,7,21,reef-associated,benthivorous,3.46,spe,eel-like,pointed,0.87,1.52,bearer,0.8,825,21,0.34,19,1
Alepocephalidae,Bajacalifornia,erimoensis,S,Bajacalifornia erimoensis,3,77,bathypelagic,generalist,3.67,family,fusiform,forked,0.89,2.7,non-guarder,NA,3754,64,0.3,23,4
Rajidae,Leucoraja,erinacea,S,Leucoraja erinacea,6,21,demersal,benthivorous,3.61,spe,flat,pointed,NA,50,non-guarder,4.3,22,52,0.32,54,12
Rajidae,Leucoraja,erinacea,S,Leucoraja erinacea,7,21,demersal,benthivorous,3.61,spe,flat,pointed,NA,50,non-guarder,4.3,22,52,0.32,54,12
Rajidae,Leucoraja,erinacea,S,Leucoraja erinacea,8,21,demersal,benthivorous,3.61,spe,flat,pointed,NA,50,non-guarder,4.3,22,52,0.32,53,12
Rajidae,Leucoraja,erinacea,S,Leucoraja erinacea,9,21,demersal,benthivorous,3.61,spe,flat,pointed,NA,50,non-guarder,4.3,22,52,0.32,53,12
Sparidae,Pagellus,erythrinus,S,Pagellus erythrinus,24,27,benthopelagic,benthivorous,3.48,spe,fusiform,forked,2.6,0.8,non-guarder,3,141600,52,0.14,60,20
Sparidae,Pagellus,erythrinus,S,Pagellus erythrinus,25,27,benthopelagic,benthivorous,3.48,spe,fusiform,forked,2.6,0.8,non-guarder,3,141600,52,0.14,60,20
Sparidae,Pagellus,erythrinus,S,Pagellus erythrinus,26,27,benthopelagic,benthivorous,3.48,spe,fusiform,forked,2.6,0.8,non-guarder,3,141600,52,0.14,60,20
Sparidae,Pagellus,erythrinus,S,Pagellus erythrinus,26,37,benthopelagic,benthivorous,3.48,spe,fusiform,forked,2.6,0.8,non-guarder,3,141600,35,0.18,60,20
Gadidae,Trisopterus,esmarkii,S,Trisopterus esmarkii,18,21,benthopelagic,planktivorous,3.24,spe,fusiform,truncate,0.95,1.14,non-guarder,1.7,205595,21,0.55,21,5
Gadidae,Trisopterus,esmarkii,S,Trisopterus esmarkii,19,27,benthopelagic,planktivorous,3.24,spe,fusiform,truncate,0.95,1.14,non-guarder,1.7,205595,21,0.56,21,5
Gadidae,Trisopterus,esmarkii,S,Trisopterus esmarkii,20,27,benthopelagic,planktivorous,3.24,spe,fusiform,truncate,0.95,1.14,non-guarder,2,205595,21,0.56,25,8
Gadidae,Trisopterus,esmarkii,S,Trisopterus esmarkii,21,27,benthopelagic,planktivorous,3.24,spe,fusiform,truncate,0.95,1.14,non-guarder,1.7,205595,21,0.56,21,5
Gadidae,Trisopterus,esmarkii,S,Trisopterus esmarkii,22,27,benthopelagic,planktivorous,3.24,spe,fusiform,truncate,0.95,1.14,non-guarder,1.7,205595,21,0.56,21,5
Gadidae,Trisopterus,esmarkii,S,Trisopterus esmarkii,23,27,benthopelagic,planktivorous,3.24,spe,fusiform,truncate,0.95,1.14,non-guarder,1.7,205595,21,0.56,21,5
Gadidae,Trisopterus,esmarkii,S,Trisopterus esmarkii,24,27,benthopelagic,planktivorous,3.24,spe,fusiform,truncate,0.95,1.14,non-guarder,1.7,205595,21,0.56,21,5
Gadidae,Trisopterus,esmarkii,S,Trisopterus esmarkii,59,27,benthopelagic,planktivorous,3.24,spe,fusiform,truncate,0.95,1.14,non-guarder,1.7,205595,21,0.56,21,5
Gadidae,Trisopterus,esmarkii,S,Trisopterus esmarkii,60,27,benthopelagic,planktivorous,3.24,spe,fusiform,truncate,0.95,1.14,non-guarder,1.7,205595,21,0.56,21,5
Zoarcidae,Lycodes,esmarkii,S,Lycodes esmarkii,8,21,bathydemersal,benthivorous,3.91,spe,eel-like,pointed,NA,6,guarder,3,1200,22,0.24,63,14
Zoarcidae,Lycodes,esmarkii,S,Lycodes esmarkii,18,21,bathydemersal,benthivorous,3.91,spe,eel-like,pointed,NA,6,guarder,3,1200,22,0.24,63,14
Zoarcidae,Lycodes,esmarkii,S,Lycodes esmarkii,19,27,bathydemersal,benthivorous,3.91,spe,eel-like,pointed,NA,6,guarder,3,1200,21,0.21,63,14
Zoarcidae,Lycodes,esmarkii,S,Lycodes esmarkii,20,27,bathydemersal,benthivorous,3.91,spe,eel-like,pointed,NA,6,guarder,3,1200,21,0.21,63,14
Zoarcidae,Lycodes,esmarkii,S,Lycodes esmarkii,21,27,bathydemersal,benthivorous,3.91,spe,eel-like,pointed,NA,6,guarder,3,1200,21,0.21,63,14
Zoarcidae,Lycodes,esmarkii,S,Lycodes esmarkii,59,27,bathydemersal,benthivorous,3.91,spe,eel-like,pointed,NA,6,guarder,3,1200,21,0.21,63,14
Zoarcidae,Lycodes,esmarkii,S,Lycodes esmarkii,60,27,bathydemersal,benthivorous,3.91,spe,eel-like,pointed,NA,6,guarder,3,1200,21,0.21,63,14
Zoarcidae,Lycodes,eudipleurostictus,S,Lycodes eudipleurostictus,8,21,demersal,benthivorous,3.5,spe,eel-like,pointed,NA,5,guarder,3,193,22,0.24,45,13
Zoarcidae,Lycodes,eudipleurostictus,S,Lycodes eudipleurostictus,19,27,demersal,benthivorous,3.5,spe,eel-like,pointed,NA,5,guarder,3,193,21,0.21,45,13
Zoarcidae,Lycodes,eudipleurostictus,S,Lycodes eudipleurostictus,20,27,demersal,benthivorous,3.5,spe,eel-like,pointed,NA,5,guarder,3,193,21,0.21,45,13
Zoarcidae,Lycodes,eudipleurostictus,S,Lycodes eudipleurostictus,21,27,demersal,benthivorous,3.5,spe,eel-like,pointed,NA,5,guarder,3,193,21,0.21,45,13
Zoarcidae,Lycodes,eudipleurostictus,S,Lycodes eudipleurostictus,22,27,demersal,benthivorous,3.5,spe,eel-like,pointed,NA,5,guarder,3,193,21,0.21,45,13
Zoarcidae,Lycodes,eudipleurostictus,S,Lycodes eudipleurostictus,59,27,demersal,benthivorous,3.5,spe,eel-like,pointed,NA,5,guarder,3,193,21,0.21,45,13
Serranidae,Liopropoma,eukrines,S,Liopropoma eukrines,5,31,reef-associated,generalist,3.97,genus,fusiform,truncate,1.35,0.84,non-guarder,1,2371213,92,0.12,13,20
Bathylagidae,Bathylagus,euryops,S,Bathylagus euryops,7,21,bathydemersal,planktivorous,3.34,spe,elongated,forked,1.28,1.75,non-guarder,NA,3492,27,0.14,21,5
Bathylagidae,Bathylagus,euryops,S,Bathylagus euryops,8,21,bathydemersal,planktivorous,3.34,spe,elongated,forked,1.28,1.75,non-guarder,NA,3492,27,0.14,21,5
Cottidae,Icelus,euryops,S,Icelus euryops,1,67,bathydemersal,benthivorous,3.62,genus,elongated,rounded,0.94,1.96,non-guarder,2,27117,27,0.14,15,8
Cottidae,Icelus,euryops,S,Icelus euryops,2,67,bathydemersal,benthivorous,3.62,genus,elongated,rounded,0.94,1.96,non-guarder,2,23012,27,0.14,15,8
Cottidae,Icelus,euryops,S,Icelus euryops,65,61,bathydemersal,benthivorous,3.62,genus,elongated,rounded,0.94,1.96,non-guarder,2,23012,27,0.14,15,8
Cottidae,Icelus,euryops,S,Icelus euryops,65,67,bathydemersal,benthivorous,3.62,genus,elongated,rounded,0.94,1.96,non-guarder,2,27117,27,0.14,15,8
Cottidae,Bolinia,euryptera,S,Bolinia euryptera,2,67,bathydemersal,benthivorous,3.56,family,elongated,rounded,1.08,1.96,NA,3.9,31696,10,0.21,19,9.6
Cottidae,Bolinia,euryptera,S,Bolinia euryptera,3,77,bathydemersal,benthivorous,3.56,family,elongated,rounded,1.08,1.96,NA,3.9,23012,27,0.18,19,9.6
Cottidae,Bolinia,euryptera,S,Bolinia euryptera,65,61,bathydemersal,benthivorous,3.56,family,elongated,rounded,1.08,1.96,NA,3.9,27117,63,0.14,19,9.6
Cottidae,Bolinia,euryptera,S,Bolinia euryptera,65,67,bathydemersal,benthivorous,3.56,family,elongated,rounded,1.08,1.96,NA,3.9,23012,22,0.19,19,9.6
Engraulidae,Engraulis,eurystole,S,Engraulis eurystole,5,31,pelagic,planktivorous,3.14,genus,fusiform,forked,1.81,1.5,non-guarder,1.1,21006,19,0.63,16,6
Engraulidae,Engraulis,eurystole,S,Engraulis eurystole,6,21,pelagic,planktivorous,3.14,genus,fusiform,forked,1.81,1.5,non-guarder,1.1,226500,19,0.63,16,6
Engraulidae,Engraulis,eurystole,S,Engraulis eurystole,6,31,pelagic,planktivorous,3.14,genus,fusiform,forked,1.81,1.5,non-guarder,1.1,21006,19,0.63,16,6
Engraulidae,Engraulis,eurystole,S,Engraulis eurystole,7,21,pelagic,planktivorous,3.14,genus,fusiform,forked,1.81,1.5,non-guarder,1.1,226500,19,0.63,16,6
Pleuronectidae,Atheresthes,evermanni,S,Atheresthes evermanni,1,61,demersal,generalist,4.3,spe,flat,truncate,1.31,1.78,non-guarder,6,1295000,91,0.1,100,33
Pleuronectidae,Atheresthes,evermanni,S,Atheresthes evermanni,1,67,demersal,generalist,4.3,spe,flat,truncate,1.31,1.78,non-guarder,6,1295000,91,0.1,100,33
Pleuronectidae,Atheresthes,evermanni,S,Atheresthes evermanni,2,21,demersal,generalist,4.3,spe,flat,truncate,1.31,1.78,non-guarder,6,1295000,91,0.1,100,33
Pleuronectidae,Atheresthes,evermanni,S,Atheresthes evermanni,2,67,demersal,generalist,4.3,spe,flat,truncate,1.31,1.78,non-guarder,6,1295000,91,0.1,100,33
Pleuronectidae,Atheresthes,evermanni,S,Atheresthes evermanni,53,61,demersal,generalist,4.3,spe,flat,truncate,1.31,1.78,non-guarder,6,1295000,91,0.1,100,33
Pleuronectidae,Atheresthes,evermanni,S,Atheresthes evermanni,54,61,demersal,generalist,4.3,spe,flat,truncate,1.31,1.78,non-guarder,6,1295000,91,0.1,100,33
Pleuronectidae,Atheresthes,evermanni,S,Atheresthes evermanni,65,27,demersal,generalist,4.3,spe,flat,truncate,1.31,1.78,non-guarder,6,1295000,91,0.1,100,33
Pleuronectidae,Atheresthes,evermanni,S,Atheresthes evermanni,65,61,demersal,generalist,4.3,spe,flat,truncate,1.31,1.78,non-guarder,6,1295000,91,0.1,100,33
Pleuronectidae,Atheresthes,evermanni,S,Atheresthes evermanni,65,67,demersal,generalist,4.3,spe,flat,truncate,1.31,1.78,non-guarder,6,1295000,91,0.1,100,33
Stichaeidae,Plectobranchus,evides,S,Plectobranchus evides,3,67,demersal,generalist,3.13,family,elongated,rounded,1.05,2.55,guarder,3.3,32000,43,0.11,13,10
Triglidae,Prionotus,evolans,S,Prionotus evolans,6,21,reef-associated,generalist,4.28,spe,fusiform,truncate,0.85,1.1,non-guarder,3.3,250000,41,0.15,45,11.9
Triglidae,Prionotus,evolans,S,Prionotus evolans,6,31,reef-associated,generalist,4.28,spe,fusiform,truncate,0.85,1.1,non-guarder,3.3,130000,41,0.15,45,14.6
Triglidae,Prionotus,evolans,S,Prionotus evolans,7,21,reef-associated,generalist,4.28,spe,fusiform,truncate,0.85,1.1,non-guarder,3.3,130000,41,0.15,45,11.9
Rhinobatidae,Zapteryx,exasperata,S,Zapteryx exasperata,3,77,reef-associated,benthivorous,3.55,spe,flat,truncate,1.22,NA,bearer,8,8,170,0.1,97,12.7
Opisthoproctidae,Bathylychnops,exilis,S,Bathylychnops exilis,3,77,bathypelagic,planktivorous,3.5,family,elongated,forked,2.17,1.33,non-guarder,NA,532,15,0.5,58,NA
Pleuronectidae,Lyopsetta,exilis,S,Lyopsetta exilis,1,67,bathydemersal,benthivorous,3.51,family,flat,rounded,0.8,1.63,non-guarder,4,622929,43,0.1,35,20
Pleuronectidae,Lyopsetta,exilis,S,Lyopsetta exilis,2,21,bathydemersal,benthivorous,3.51,family,flat,rounded,0.8,1.63,non-guarder,4,648836,68,0.13,35,20
Pleuronectidae,Lyopsetta,exilis,S,Lyopsetta exilis,2,67,bathydemersal,benthivorous,3.51,family,flat,rounded,0.8,1.63,non-guarder,4,622929,47,0.18,35,20
Pleuronectidae,Lyopsetta,exilis,S,Lyopsetta exilis,3,67,bathydemersal,benthivorous,3.51,family,flat,rounded,0.8,1.63,non-guarder,4,622929,55,0.17,35,20
Pleuronectidae,Lyopsetta,exilis,S,Lyopsetta exilis,3,77,bathydemersal,benthivorous,3.51,family,flat,rounded,0.8,1.63,non-guarder,4,622929,55,0.17,35,20
Labridae,Centrolabrus,exoletus,S,Centrolabrus exoletus,22,27,reef-associated,benthivorous,3.5,spe,fusiform,rounded,1.37,0.91,guarder,3.2,160631,13,0.75,13,6
Labridae,Centrolabrus,exoletus,S,Centrolabrus exoletus,24,27,reef-associated,benthivorous,3.5,spe,fusiform,rounded,1.37,0.91,guarder,3.2,160631,13,0.66,13,6
Labridae,Centrolabrus,exoletus,S,Centrolabrus exoletus,25,27,reef-associated,benthivorous,3.5,spe,fusiform,truncate,1.37,0.91,guarder,3.2,160631,13,0.7,13,6
Exocoetidae,Cheilopogon,exsiliens,S,Cheilopogon exsiliens,5,31,pelagic,planktivorous,3.03,spe,elongated,lunate,2.78,1.64,non-guarder,NA,15196,26,1.19,30,1
Ephippidae,Chaetodipterus,faber,S,Chaetodipterus faber,5,31,reef-associated,generalist,4.5,spe,compressiform,truncate,3.23,NA,non-guarder,1,NA,49,0.34,50,8
Ephippidae,Chaetodipterus,faber,S,Chaetodipterus faber,6,21,reef-associated,generalist,4.5,spe,compressiform,truncate,3.23,NA,non-guarder,1,NA,49,0.34,50,8
Ephippidae,Chaetodipterus,faber,S,Chaetodipterus faber,6,31,reef-associated,generalist,4.5,spe,compressiform,truncate,3.23,NA,non-guarder,1,NA,49,0.34,50,8
Ephippidae,Chaetodipterus,faber,S,Chaetodipterus faber,7,21,reef-associated,generalist,4.5,spe,compressiform,truncate,3.23,NA,non-guarder,1,NA,49,0.34,50,8
Zeidae,Zeus,faber,S,Zeus faber,21,27,benthopelagic,piscivorous,4.5,spe,compressiform,truncate,1.68,2,non-guarder,4,30000,69,0.15,60,18
Zeidae,Zeus,faber,S,Zeus faber,22,27,benthopelagic,piscivorous,4.5,spe,compressiform,truncate,1.68,2,non-guarder,4,30000,69,0.15,60,18
Zeidae,Zeus,faber,S,Zeus faber,24,27,benthopelagic,piscivorous,4.5,spe,compressiform,truncate,1.68,2,non-guarder,4,30000,69,0.15,59,18
Zeidae,Zeus,faber,S,Zeus faber,25,27,benthopelagic,piscivorous,4.5,spe,compressiform,truncate,1.68,2,non-guarder,4,30000,69,0.15,60,18
Zeidae,Zeus,faber,S,Zeus faber,26,37,benthopelagic,piscivorous,4.5,spe,compressiform,truncate,1.68,2,non-guarder,4,30000,69,0.3,60,18
Etmopteridae,Centroscyllium,fabricii,S,Centroscyllium fabricii,7,21,bathydemersal,generalist,3.84,spe,elongated,heterocercal,0.82,175,bearer,5,10,42,0.18,84,57
Etmopteridae,Centroscyllium,fabricii,S,Centroscyllium fabricii,8,21,bathydemersal,generalist,3.84,spe,elongated,heterocercal,0.82,175,bearer,5,10,42,0.18,84,57
Etmopteridae,Centroscyllium,fabricii,S,Centroscyllium fabricii,9,21,bathydemersal,generalist,3.84,spe,elongated,heterocercal,0.82,175,bearer,5,10,42,0.18,84,57
Etmopteridae,Centroscyllium,fabricii,S,Centroscyllium fabricii,18,21,bathydemersal,generalist,3.84,spe,elongated,heterocercal,0.82,175,bearer,5,10,42,0.18,84,57
Etmopteridae,Centroscyllium,fabricii,S,Centroscyllium fabricii,59,27,bathydemersal,generalist,3.84,spe,elongated,heterocercal,0.82,175,bearer,5,10,42,0.18,84,57
Liparidae,Liparis,fabricii,S,Liparis fabricii,7,21,bathydemersal,benthivorous,3.33,spe,fusiform,rounded,0.66,2.4,non-guarder,2.9,600,13,0.68,20,8
Liparidae,Liparis,fabricii,S,Liparis fabricii,8,21,bathydemersal,benthivorous,3.33,spe,fusiform,rounded,0.66,2.4,non-guarder,2.9,600,13,0.68,20,8
Liparidae,Liparis,fabricii,S,Liparis fabricii,19,27,bathydemersal,benthivorous,3.33,spe,fusiform,rounded,0.66,2.4,non-guarder,2.9,600,13,0.68,20,8
Liparidae,Liparis,fabricii,S,Liparis fabricii,20,27,bathydemersal,benthivorous,3.33,spe,fusiform,rounded,0.66,2.4,non-guarder,2.9,600,13,0.68,21,8
Liparidae,Liparis,fabricii,S,Liparis fabricii,21,27,bathydemersal,benthivorous,3.33,spe,fusiform,rounded,0.66,2.4,non-guarder,2.9,600,13,0.68,20,8
Liparidae,Liparis,fabricii,S,Liparis fabricii,22,27,bathydemersal,benthivorous,3.33,spe,fusiform,rounded,0.66,2.4,non-guarder,2.9,600,13,0.68,20,8
Liparidae,Liparis,fabricii,S,Liparis fabricii,59,27,bathydemersal,benthivorous,3.33,spe,fusiform,rounded,0.66,2.4,non-guarder,2.9,600,13,0.68,20,8
Stichaeidae,Lumpenus,fabricii,S,Lumpenus fabricii,1,61,demersal,benthivorous,3.28,spe,eel-like,rounded,1.01,2.55,guarder,3,700,48,0.2,37,8.5
Stichaeidae,Lumpenus,fabricii,S,Lumpenus fabricii,1,67,demersal,benthivorous,3.28,spe,eel-like,rounded,1.01,2.55,guarder,3,700,48,0.2,37,8.5
Stichaeidae,Lumpenus,fabricii,S,Lumpenus fabricii,2,21,demersal,benthivorous,3.28,spe,eel-like,rounded,1.01,2.55,guarder,3,700,48,0.2,37,8.5
Stichaeidae,Lumpenus,fabricii,S,Lumpenus fabricii,2,67,demersal,benthivorous,3.28,spe,eel-like,rounded,1.01,2.55,guarder,3,700,48,0.2,37,8.5
Stichaeidae,Lumpenus,fabricii,S,Lumpenus fabricii,8,21,demersal,benthivorous,3.28,spe,eel-like,rounded,1.01,2.55,guarder,3,700,48,0.2,37,8.5
Stichaeidae,Lumpenus,fabricii,S,Lumpenus fabricii,20,27,demersal,benthivorous,3.28,spe,eel-like,rounded,1.01,2.55,guarder,3,700,48,0.2,37,8.5
Stichaeidae,Lumpenus,fabricii,S,Lumpenus fabricii,54,61,demersal,benthivorous,3.28,spe,eel-like,rounded,1.01,2.55,guarder,3,700,48,0.2,37,8.5
Stichaeidae,Lumpenus,fabricii,S,Lumpenus fabricii,65,61,demersal,benthivorous,3.28,spe,eel-like,rounded,1.01,2.55,guarder,3,700,48,0.2,37,8.5
Carangidae,Trachinotus,falcatus,S,Trachinotus falcatus,5,31,reef-associated,generalist,3.98,spe,compressiform,lunate,2.87,1.14,non-guarder,3.1,3031167,94,0.33,78,23
Carangidae,Trachinotus,falcatus,S,Trachinotus falcatus,6,31,reef-associated,generalist,3.98,spe,compressiform,lunate,2.87,1.14,non-guarder,3.1,3031167,94,0.33,78,23
Carangidae,Trachinotus,falcatus,S,Trachinotus falcatus,7,21,reef-associated,generalist,3.98,spe,compressiform,lunate,2.87,1.14,non-guarder,3.1,719669,94,0.33,78,23
Carcharhinidae,Carcharhinus,falciformis,S,Carcharhinus falciformis,5,31,reef-associated,piscivorous,4.51,spe,fusiform,heterocercal,2.03,720,bearer,10,8,302,0.11,314,25
Carcharhinidae,Carcharhinus,falciformis,S,Carcharhinus falciformis,6,21,reef-associated,piscivorous,4.51,spe,fusiform,heterocercal,2.03,720,bearer,10,8,468,0.05,350,25
Carcharhinidae,Carcharhinus,falciformis,S,Carcharhinus falciformis,6,31,reef-associated,piscivorous,4.51,spe,fusiform,heterocercal,2.03,720,bearer,10,8,344,0.09,314,25
Carcharhinidae,Carcharhinus,falciformis,S,Carcharhinus falciformis,7,21,reef-associated,piscivorous,4.51,spe,fusiform,heterocercal,2.03,720,bearer,10,8,468,0.05,350,25
Clupeidae,Alosa,fallax,S,Alosa fallax,22,27,pelagic,generalist,4.03,spe,fusiform,forked,2.94,1,non-guarder,2.5,143750,52,0.33,43,25
Clupeidae,Alosa,fallax,S,Alosa fallax,24,27,pelagic,generalist,4.03,spe,fusiform,forked,2.94,1,non-guarder,2.5,143750,52,0.33,43,25
Clupeidae,Alosa,fallax,S,Alosa fallax,25,27,pelagic,generalist,4.03,spe,fusiform,forked,2.94,1,non-guarder,2.5,143750,52,0.33,43,25
Carangidae,Seriola,fasciata,S,Seriola fasciata,5,31,benthopelagic,piscivorous,4.5,spe,fusiform,lunate,3.9,1.39,non-guarder,4,3031167,152,0.2,44,15
Carangidae,Seriola,fasciata,S,Seriola fasciata,6,31,benthopelagic,piscivorous,4.5,spe,fusiform,lunate,3.9,1.39,non-guarder,4,3031167,152,0.2,44,15
Carangidae,Seriola,fasciata,S,Seriola fasciata,7,21,benthopelagic,piscivorous,4.5,spe,fusiform,lunate,3.9,1.39,non-guarder,4,719669,150,0.21,44,15
Pholidae,Pholis,fasciata,S,Pholis fasciata,7,21,demersal,benthivorous,3.27,spe,eel-like,rounded,NA,1.94,guarder,2,1100,22,0.23,30,12
Pholidae,Pholis,fasciata,S,Pholis fasciata,8,21,demersal,benthivorous,3.27,spe,eel-like,rounded,NA,1.94,guarder,2,1100,22,0.23,30,12
Sciaenidae,Larimus,fasciatus,S,Larimus fasciatus,5,31,demersal,generalist,3.86,genus,fusiform,rounded,1.36,0.75,non-guarder,2.3,311878,18,0.98,25,16
Sciaenidae,Larimus,fasciatus,S,Larimus fasciatus,6,21,demersal,generalist,3.86,genus,fusiform,rounded,1.36,0.75,non-guarder,2.3,311878,18,0.98,25,16
Sciaenidae,Larimus,fasciatus,S,Larimus fasciatus,6,31,demersal,generalist,3.86,genus,fusiform,rounded,1.36,0.75,non-guarder,2.3,311878,18,0.98,25,16
Sciaenidae,Larimus,fasciatus,S,Larimus fasciatus,7,21,demersal,generalist,3.86,genus,fusiform,rounded,1.36,0.75,non-guarder,2.3,314754,18,0.98,25,16
Sebastidae,Sebastes,fasciatus,S,Sebastes fasciatus,7,21,demersal,planktivorous,3.77,genus,fusiform,truncate,1.6,5.8,bearer,5.5,100225,31,0.19,30,71
Sebastidae,Sebastes,fasciatus,S,Sebastes fasciatus,8,21,demersal,planktivorous,3.77,genus,fusiform,truncate,1.6,5.8,bearer,5.5,218182,31,0.19,30,71
Sebastidae,Sebastes,fasciatus,S,Sebastes fasciatus,19,27,demersal,planktivorous,3.77,genus,fusiform,truncate,1.6,5.8,bearer,5.5,218182,31,0.19,30,71
Liparidae,Careproctus,faunus,S,Careproctus faunus,65,67,demersal,benthivorous,3.58,genus,elongated,rounded,0.54,3.75,non-guarder,4.8,418,26,0.43,10,7
Ariidae,Ariopsis,felis,S,Ariopsis felis,5,31,reef-associated,benthivorous,3.23,spe,fusiform,forked,1.88,5.39,bearer,2,100,59,0.06,70,13
Ariidae,Ariopsis,felis,S,Ariopsis felis,6,31,reef-associated,benthivorous,3.23,spe,fusiform,forked,1.88,5.39,bearer,2,100,59,0.06,70,13
Alepisauridae,Alepisaurus,ferox,S,Alepisaurus ferox,1,67,bathypelagic,generalist,4.03,spe,elongated,forked,1.61,NA,non-guarder,NA,NA,NA,NA,46,NA
Alepisauridae,Alepisaurus,ferox,S,Alepisaurus ferox,2,67,bathypelagic,generalist,4.03,spe,elongated,forked,1.61,NA,non-guarder,NA,NA,NA,NA,46,NA
Alepisauridae,Alepisaurus,ferox,S,Alepisaurus ferox,3,67,bathypelagic,generalist,4.03,spe,elongated,forked,1.61,NA,non-guarder,NA,NA,NA,NA,46,NA
Alepisauridae,Alepisaurus,ferox,S,Alepisaurus ferox,3,77,bathypelagic,generalist,4.03,spe,elongated,forked,1.61,NA,non-guarder,NA,NA,NA,NA,46,NA
Alepisauridae,Alepisaurus,ferox,S,Alepisaurus ferox,7,21,bathypelagic,generalist,4.03,spe,elongated,forked,1.61,NA,non-guarder,NA,NA,NA,NA,46,NA
Alepisauridae,Alepisaurus,ferox,S,Alepisaurus ferox,8,21,bathypelagic,generalist,4.03,spe,elongated,forked,1.61,NA,non-guarder,NA,NA,NA,NA,46,NA
Alepisauridae,Alepisaurus,ferox,S,Alepisaurus ferox,65,61,bathypelagic,generalist,4.03,spe,elongated,forked,1.61,NA,non-guarder,NA,NA,NA,NA,72,NA
Bathysauridae,Bathysaurus,ferox,S,Bathysaurus ferox,7,21,bathydemersal,piscivorous,4.34,spe,elongated,truncate,0.98,0.8,non-guarder,NA,32000,NA,NA,74,NA
Bathysauridae,Bathysaurus,ferox,S,Bathysaurus ferox,8,21,bathydemersal,piscivorous,4.34,spe,elongated,truncate,0.98,0.8,non-guarder,NA,32000,NA,NA,74,NA
Pleuronectidae,Limanda,ferruginea,S,Limanda ferruginea,7,21,demersal,benthivorous,3.28,spe,flat,rounded,1.02,0.9,non-guarder,4.1,696195,50,0.34,63,12
Pleuronectidae,Limanda,ferruginea,S,Limanda ferruginea,8,21,demersal,benthivorous,3.28,spe,flat,rounded,1.02,0.9,non-guarder,4.1,696195,50,0.34,63,12
